,id,chartRating,type,title_id,title
237,/title/tt0405508/,8.0,movie,tt0405508,Rang De Basanti - Die Farbe Safran
238,/title/tt0118694/,8.0,movie,tt0118694,In the Mood for Love
239,/title/tt0087884/,8.0,movie,tt0087884,"Paris, Texas"
240,/title/tt8613070/,8.0,movie,tt8613070,Portrait of a Lady on Fire
241,/title/tt0025316/,8.0,movie,tt0025316,It Happened One Night
242,/title/tt4857264/,8.0,movie,tt4857264,The Invisible Guest
243,/title/tt5323662/,8.0,movie,tt5323662,A Silent Voice: The Movie
244,/title/tt4430212/,8.0,movie,tt4430212,Drishyam
245,/title/tt1454029/,8.0,movie,tt1454029,The Help
246,/title/tt0058946/,8.0,movie,tt0058946,The Battle of Algiers
247,/title/tt2991224/,8.0,movie,tt2991224,Tangerines
248,/title/tt0111495/,8.0,movie,tt0111495,Three Colors: Red
249,/title/tt0367110/,8.0,movie,tt0367110,Swades
